date,state,fips,cases
1/21/20,Washington,53,1
1/22/20,Washington,53,1
1/23/20,Washington,53,1
1/24/20,Illinois,17,1
1/24/20,Washington,53,1
1/25/20,California,6,1
1/25/20,Illinois,17,1
1/25/20,Washington,53,1
1/26/20,Arizona,4,1
1/26/20,California,6,2
1/26/20,Illinois,17,1
1/26/20,Washington,53,1
1/27/20,Arizona,4,1
1/27/20,California,6,2
1/27/20,Illinois,17,1
1/27/20,Washington,53,1
1/28/20,Arizona,4,1
1/28/20,California,6,2
1/28/20,Illinois,17,1
1/28/20,Washington,53,1
1/29/20,Arizona,4,1
1/29/20,California,6,2
1/29/20,Illinois,17,1
1/29/20,Washington,53,1
1/30/20,Arizona,4,1
1/30/20,California,6,2
1/30/20,Illinois,17,2
1/30/20,Washington,53,1
1/31/20,Arizona,4,1
1/31/20,California,6,3
1/31/20,Illinois,17,2
1/31/20,Washington,53,1
2/1/20,Arizona,4,1
2/1/20,California,6,3
2/1/20,Illinois,17,2
2/1/20,Massachusetts,25,1
2/1/20,Washington,53,1
2/2/20,Arizona,4,1
2/2/20,California,6,6
2/2/20,Illinois,17,2
2/2/20,Massachusetts,25,1
2/2/20,Washington,53,1
2/3/20,Arizona,4,1
2/3/20,California,6,6
2/3/20,Illinois,17,2
2/3/20,Massachusetts,25,1
2/3/20,Washington,53,1
2/4/20,Arizona,4,1
2/4/20,California,6,6
2/4/20,Illinois,17,2
2/4/20,Massachusetts,25,1
2/4/20,Washington,53,1
2/5/20,Arizona,4,1
2/5/20,California,6,6
2/5/20,Illinois,17,2
2/5/20,Massachusetts,25,1
2/5/20,Washington,53,1
2/5/20,Wisconsin,55,1
2/6/20,Arizona,4,1
2/6/20,California,6,6
2/6/20,Illinois,17,2
2/6/20,Massachusetts,25,1
2/6/20,Washington,53,1
2/6/20,Wisconsin,55,1
2/7/20,Arizona,4,1
2/7/20,California,6,6
2/7/20,Illinois,17,2
2/7/20,Massachusetts,25,1
2/7/20,Washington,53,1
2/7/20,Wisconsin,55,1
2/8/20,Arizona,4,1
2/8/20,California,6,6
2/8/20,Illinois,17,2
2/8/20,Massachusetts,25,1
2/8/20,Washington,53,1
2/8/20,Wisconsin,55,1
2/9/20,Arizona,4,1
2/9/20,California,6,6
2/9/20,Illinois,17,2
2/9/20,Massachusetts,25,1
2/9/20,Washington,53,1
2/9/20,Wisconsin,55,1
2/10/20,Arizona,4,1
2/10/20,California,6,7
2/10/20,Illinois,17,2
2/10/20,Massachusetts,25,1
2/10/20,Washington,53,1
2/10/20,Wisconsin,55,1
2/11/20,Arizona,4,1
2/11/20,California,6,7
2/11/20,Illinois,17,2
2/11/20,Massachusetts,25,1
2/11/20,Washington,53,1
2/11/20,Wisconsin,55,1
2/12/20,Arizona,4,1
2/12/20,California,6,7
2/12/20,Illinois,17,2
2/12/20,Massachusetts,25,1
2/12/20,Texas,48,1
